customer_key,customer_name,industry,vertical,address,city,county,postcode
1,University of Sheffield,Education,Public Sector,58 Mill Lane,Liverpool,Merseyside,L95 9DY
2,Harrison Martin Ltd,Financial Services,SMB,24 Church Road,London,Greater London,EC30 1TW
3,Lee Turner Solutions,Hospitality,Enterprise,151 Park Lane,Cambridge,Cambridgeshire,CB1 7FZ
4,Edwards Johnson Solutions,Transport & Logistics,SMB,27 Station Road,Nottingham,Nottinghamshire,NG49 6DM
5,Williams Hill UK,Manufacturing,Enterprise,97 Station Road,Leeds,West Yorkshire,LS71 6KX
6,Taylor Williams and Co,Hospitality,Enterprise,198 Park Lane,Liverpool,Merseyside,L11 7HD
7,Hill Patel Group,Professional Services,SMB,91 Church Road,Cardiff,Wales,CF86 2JZ
8,Lee White Group,Retail,Enterprise,98 Park Lane,Cambridge,Cambridgeshire,CB82 4ZU
9,Brown Thompson Ltd,Construction,Enterprise,103 Park Lane,Nottingham,Nottinghamshire,NG9 6GV
10,Morris Wood and Co,Technology,SMB,37 Park Lane,Cambridge,Cambridgeshire,CB18 9HU
11,Harrison Martin International,Manufacturing,Enterprise,93 Church Road,Belfast,Northern Ireland,BT18 2TS
12,Evans Johnson and Co,Healthcare,Enterprise,175 Queens Road,Edinburgh,Scotland,EH77 7CN
13,Clark Hughes UK,Charity,SMB,175 Innovation Drive,London,Greater London,EC15 5YU
14,Evans Green Services,Transport & Logistics,SMB,117 High Street,Edinburgh,Scotland,EH93 3JT
15,Wilson Hall and Co,Insurance,Enterprise,156 Church Road,Brighton,East Sussex,BN20 9MF
16,Smith Morgan Associates,Recruitment,SMB,5 Station Road,Oxford,Oxfordshire,OX47 1KH
17,Baker Davies PLC,Manufacturing,SMB,18 Commerce Way,Oxford,Oxfordshire,OX69 8EE
18,Hughes Clark International,Retail,Enterprise,55 Technology Park,Reading,Berkshire,RG70 5ZG
19,Patel Networks Group,MSP,Partner,31 Church Road,Cambridge,Cambridgeshire,CB29 1CL
20,Harrison Thompson Ltd,Technology,Enterprise,182 Business Park,Birmingham,West Midlands,B8 1HC
21,Taylor Moore Solutions,Transport & Logistics,SMB,172 Kings Road,Sheffield,South Yorkshire,S28 8UE
22,Ward Turner Solutions,Manufacturing,SMB,25 Business Park,Leeds,West Yorkshire,LS56 7MP
23,Brown Wilson Ltd,Charity,SMB,187 Victoria Road,Belfast,Northern Ireland,BT14 4HG
24,Cooper Thomas Services,Media & Entertainment,Enterprise,72 Kings Road,Edinburgh,Scotland,EH32 9CR
25,Brown Lee Ltd,Financial Services,Enterprise,193 Enterprise Road,Birmingham,West Midlands,B31 8FP
26,Robinson Wood Ltd,Real Estate,SMB,98 High Street,Edinburgh,Scotland,EH50 5JR
27,King Morris Group,Central Government,Public Sector,76 Church Road,Bristol,Avon,BS8 1VU
28,Brown Brown International,Construction,Enterprise,129 Technology Park,Oxford,Oxfordshire,OX68 9FB
29,Walker Taylor International,Financial Services,SMB,173 Enterprise Road,Birmingham,West Midlands,B31 4ND
30,Davies Turner and Co,Healthcare,SMB,145 Market Street,Milton Keynes,Buckinghamshire,MK41 6JG
31,Hughes Wood Group,Manufacturing,SMB,118 Victoria Road,Newcastle,Tyne and Wear,NE97 8CA
32,Taylor Lee Solutions,Financial Services,Enterprise,68 Mill Lane,Brighton,East Sussex,BN45 6CH
33,Roberts Cooper UK,Professional Services,Enterprise,157 Commerce Way,Newcastle,Tyne and Wear,NE84 9TA
34,Wilson Thomas Partners,Construction,SMB,28 Innovation Drive,Leeds,West Yorkshire,LS71 5EJ
35,Harris Robinson and Co,Technology,SMB,130 Kings Road,Sheffield,South Yorkshire,S33 7BC
36,Williams Smith Associates,Professional Services,SMB,164 Park Lane,Glasgow,Scotland,G21 7RU
37,Evans Taylor LLP,Legal Services,SMB,140 High Street,Glasgow,Scotland,G48 3VU
38,Thomas Williams Partners,Central Government,Public Sector,11 Technology Park,Cardiff,Wales,CF46 4GY
39,Clarke King Services,Financial Services,Enterprise,192 Mill Lane,Coventry,West Midlands,CV31 7FF
40,Walker Harris Services,Legal Services,Enterprise,69 Mill Lane,Liverpool,Merseyside,L90 1DN
41,Thompson Wright Holdings,Real Estate,SMB,79 Enterprise Road,Cardiff,Wales,CF30 4HA
42,Harris IT Solutions Ltd,MSP,Partner,90 Business Park,Sheffield,South Yorkshire,S66 9NY
43,Jones Evans Partners,Transport & Logistics,SMB,149 Park Lane,Edinburgh,Scotland,EH5 7DW
44,Lewis Martin International,Transport & Logistics,Enterprise,30 Queens Road,Brighton,East Sussex,BN74 1GJ
45,Smith Clark UK,Central Government,Public Sector,94 Queens Road,Bristol,Avon,BS9 6YL
46,Academy of Newcastle,Education,Public Sector,80 Business Park,Brighton,East Sussex,BN53 5LN
47,University of Reading,Education,Enterprise,174 Innovation Drive,Belfast,Northern Ireland,BT23 5WV
48,King Communications Partners,MSP,Partner,54 Queens Road,Newcastle,Tyne and Wear,NE75 6WX
49,Cooper Cooper and Co,Charity,SMB,131 Kings Road,Bristol,Avon,BS95 2FY
50,Moore Harris PLC,Professional Services,Enterprise,173 Park Lane,Liverpool,Merseyside,L29 1GE
51,White Ward International,Healthcare,SMB,117 Queens Road,Birmingham,West Midlands,B81 7VG
52,Wood White Group,Real Estate,Enterprise,193 Enterprise Road,London,Greater London,EC99 4DP
53,Clark Hill Ltd,Hospitality,SMB,64 Technology Park,Southampton,Hampshire,SO16 8RE
54,King Morgan Associates,Recruitment,SMB,157 Enterprise Road,Cambridge,Cambridgeshire,CB93 9TP
55,City Hospital NHS Trust,NHS Trust,Public Sector,116 Park Lane,Oxford,Oxfordshire,OX97 5HX
56,Morris White Partners,Recruitment,SMB,20 Innovation Drive,Cambridge,Cambridgeshire,CB37 6HJ
57,Lee Davies Group,Construction,Enterprise,60 Queens Road,Glasgow,Scotland,G89 4EZ
58,Turner Turner Associates,Healthcare,Public Sector,120 Queens Road,Southampton,Hampshire,SO8 7GP
59,Baker Jackson Holdings,Legal Services,Enterprise,91 Park Lane,London,Greater London,EC97 9NP
60,Morgan Thompson Holdings,Media & Entertainment,Enterprise,70 Queens Road,Liverpool,Merseyside,L63 6AN
61,Roberts Networks Ltd,MSP,Partner,137 High Street,Coventry,West Midlands,CV51 1VV
62,Martin Thomas Holdings,Financial Services,SMB,13 Park Lane,Edinburgh,Scotland,EH49 8LG
63,Harris Jackson Partners,Construction,Enterprise,65 Enterprise Road,Reading,Berkshire,RG11 9SA
64,Clarke Thompson and Co,Healthcare,Enterprise,200 Business Park,Birmingham,West Midlands,B6 4AH
65,Johnson White Group,Legal Services,Enterprise,172 Station Road,Oxford,Oxfordshire,OX73 5GR
66,Roberts Tech Group,Telecommunications,Partner,200 Enterprise Road,Leeds,West Yorkshire,LS21 1KD
67,Baker Jackson Services,Construction,SMB,20 The Green,Bristol,Avon,BS89 2XH
68,Morgan Evans International,Construction,SMB,89 Market Street,Manchester,Greater Manchester,M55 2YM
69,Harris Smith Services,Insurance,Enterprise,28 Queens Road,Oxford,Oxfordshire,OX47 3XR
70,Walker Clark and Co,Central Government,Public Sector,158 Commerce Way,Sheffield,South Yorkshire,S69 7SR
71,Lewis White PLC,Professional Services,SMB,116 Church Road,Sheffield,South Yorkshire,S97 7RV
72,Jones Morris Associates,Transport & Logistics,SMB,125 Church Road,Edinburgh,Scotland,EH46 5JL
73,King Smith UK,Professional Services,SMB,22 Church Road,Bristol,Avon,BS93 9PS
74,Ward Morris Holdings,Manufacturing,SMB,24 Park Lane,London,Greater London,EC29 4NZ
75,Harrison Patel Holdings,Construction,SMB,136 Victoria Road,Southampton,Hampshire,SO55 6UL
76,Edwards Hall Partners,Charity,SMB,31 Innovation Drive,Liverpool,Merseyside,L25 9LD
77,Wright Robinson LLP,Hospitality,SMB,71 Innovation Drive,Oxford,Oxfordshire,OX76 5TW
78,Wright Green Solutions,Financial Services,Enterprise,46 Park Lane,Cardiff,Wales,CF2 3ZU
79,Williams Brown UK,Professional Services,SMB,179 Mill Lane,Newcastle,Tyne and Wear,NE82 1SD
80,Ward Ward Holdings,Professional Services,Enterprise,48 High Street,Nottingham,Nottinghamshire,NG33 2SD
81,Morris Communications Group,MSP,Partner,39 Mill Lane,Manchester,Greater Manchester,M73 4KC
82,Academy of Reading,Education,Public Sector,153 Commerce Way,Coventry,West Midlands,CV80 7HT
83,St Marys Hospital NHS Trust,NHS Trust,Public Sector,151 Queens Road,Newcastle,Tyne and Wear,NE40 1VW
84,Robinson Robinson Partners,Financial Services,Enterprise,41 Church Road,Birmingham,West Midlands,B23 3UC
85,Turner Cooper LLP,Legal Services,SMB,121 Park Lane,Coventry,West Midlands,CV5 5HK
86,Taylor Thompson Partners,Charity,SMB,170 Commerce Way,Milton Keynes,Buckinghamshire,MK26 9PD
87,Johnson Edwards Group,Technology,Enterprise,16 Mill Lane,Birmingham,West Midlands,B40 5WV
88,Royal Hospital NHS Trust,NHS Trust,Public Sector,177 Park Lane,Cambridge,Cambridgeshire,CB90 9NJ
89,Morris Cooper PLC,Media & Entertainment,Enterprise,11 Technology Park,Coventry,West Midlands,CV56 5LW
90,Davies Thompson and Co,Legal Services,Enterprise,151 High Street,Milton Keynes,Buckinghamshire,MK98 1YJ
91,Ward Clark and Co,Hospitality,SMB,72 Mill Lane,Cambridge,Cambridgeshire,CB75 8PX
92,Ward Clarke Services,Financial Services,SMB,83 Business Park,Nottingham,Nottinghamshire,NG14 7FL
93,Green Wood UK,Real Estate,Enterprise,117 Station Road,Manchester,Greater Manchester,M41 2JL
94,Moore Communications Group,MSP,Partner,119 Queens Road,Southampton,Hampshire,SO7 6GT
95,Cooper Brown Solutions,Real Estate,Enterprise,141 Mill Lane,Sheffield,South Yorkshire,S37 8RZ
96,University of Coventry,Education,Public Sector,182 Mill Lane,Liverpool,Merseyside,L40 9UA
97,Birmingham Borough Council,Local Government,Public Sector,119 Station Road,Leeds,West Yorkshire,LS83 5ES
98,Edwards Turner Holdings,Insurance,Enterprise,63 Kings Road,Oxford,Oxfordshire,OX71 4EN
99,Thomas Taylor Partners,Insurance,Enterprise,88 Technology Park,Reading,Berkshire,RG65 5JA
100,Harrison Harrison and Co,Construction,SMB,39 Kings Road,Oxford,Oxfordshire,OX69 6SM
101,Jackson Hill Associates,Media & Entertainment,Enterprise,179 Church Road,Bristol,Avon,BS74 7NH
102,Lewis Ward LLP,Healthcare,SMB,99 Business Park,Belfast,Northern Ireland,BT84 1ES
103,Academy of Milton Keynes,Education,Enterprise,26 Enterprise Road,Nottingham,Nottinghamshire,NG57 8DT
104,Johnson Turner and Co,Legal Services,SMB,20 Kings Road,Glasgow,Scotland,G34 7LW
105,Harris Lee Services,Financial Services,SMB,161 Innovation Drive,Nottingham,Nottinghamshire,NG98 1SU
106,White Green Solutions,Healthcare,Public Sector,112 Station Road,Birmingham,West Midlands,B98 2XZ
107,City Hospital NHS Trust,NHS Trust,Public Sector,8 High Street,Newcastle,Tyne and Wear,NE42 6BK
108,Martin Telecom Ltd,Telecommunications,Partner,106 The Green,Brighton,East Sussex,BN88 3FF
109,Jackson White Holdings,Financial Services,SMB,37 Church Road,Milton Keynes,Buckinghamshire,MK60 8XJ
110,Smith Hill Partners,Manufacturing,Enterprise,41 Station Road,Southampton,Hampshire,SO57 5MV
111,Hughes Hill Partners,Central Government,Public Sector,99 Enterprise Road,Bristol,Avon,BS62 7DH
112,Baker Green LLP,Transport & Logistics,Enterprise,6 Enterprise Road,Newcastle,Tyne and Wear,NE85 1NJ
113,Morgan Morris Partners,Healthcare,Enterprise,156 Commerce Way,Liverpool,Merseyside,L46 4HX
114,Thomas Wilson and Co,Manufacturing,Enterprise,80 Commerce Way,Manchester,Greater Manchester,M57 6BV
115,University of Newcastle,Education,Enterprise,192 Queens Road,Nottingham,Nottinghamshire,NG23 9GE
116,Clark Tech Partners,Telecommunications,Partner,66 Technology Park,Edinburgh,Scotland,EH62 2KL
117,Taylor Johnson Solutions,Charity,SMB,143 Victoria Road,Belfast,Northern Ireland,BT12 5NA
118,Evans Hill Associates,Media & Entertainment,Enterprise,150 Queens Road,Sheffield,South Yorkshire,S82 4MD
119,Jones King Associates,Real Estate,SMB,57 Business Park,Coventry,West Midlands,CV9 5XR
120,Leeds Borough Council,Local Government,Public Sector,10 Park Lane,Manchester,Greater Manchester,M64 4DD
121,Thomas Jackson Holdings,Media & Entertainment,Enterprise,172 Innovation Drive,Cardiff,Wales,CF90 3UP
122,Leeds County Council,Local Government,Public Sector,105 Park Lane,Coventry,West Midlands,CV5 4ZM
123,St Marys Hospital NHS Trust,NHS Trust,Public Sector,93 Station Road,Liverpool,Merseyside,L88 6MU
124,Wood Edwards Solutions,Healthcare,Enterprise,117 Station Road,Leeds,West Yorkshire,LS85 1GX
125,Harris White Group,Healthcare,Enterprise,53 Station Road,Milton Keynes,Buckinghamshire,MK98 4UG
126,Harris Johnson International,Technology,Enterprise,71 Enterprise Road,London,Greater London,EC19 5EU
127,Evans Jones Group,Hospitality,SMB,92 Commerce Way,London,Greater London,EC31 1VL
128,Hughes Brown Group,Hospitality,SMB,135 Station Road,Reading,Berkshire,RG96 8CS
129,Moore Tech Ltd,Telecommunications,Partner,129 Church Road,Cambridge,Cambridgeshire,CB79 9BY
130,Hill Jones Ltd,Construction,SMB,103 Queens Road,Oxford,Oxfordshire,OX88 8DS
131,Davies Lewis International,Healthcare,Public Sector,17 Mill Lane,Glasgow,Scotland,G36 9WX
132,Jackson Morgan UK,Construction,Enterprise,117 Market Street,Newcastle,Tyne and Wear,NE78 2PD
133,Martin Cooper Solutions,Technology,SMB,87 Enterprise Road,Reading,Berkshire,RG59 2NP
134,Martin Lewis and Co,Construction,Enterprise,96 Mill Lane,Sheffield,South Yorkshire,S88 2SC
135,Davies Martin PLC,Financial Services,SMB,34 Market Street,Cardiff,Wales,CF8 9VU
136,Evans Turner Associates,Transport & Logistics,SMB,185 High Street,Reading,Berkshire,RG37 6WK
137,Baker Moore Solutions,Financial Services,Enterprise,169 Kings Road,Glasgow,Scotland,G29 9DM
138,Evans IT Solutions Group,Telecommunications,Partner,110 Enterprise Road,Liverpool,Merseyside,L72 9WW
139,Morgan Edwards Ltd,Legal Services,Enterprise,70 Innovation Drive,Edinburgh,Scotland,EH98 6KL
140,Walker Johnson International,Legal Services,SMB,18 Mill Lane,Belfast,Northern Ireland,BT95 2XA
141,Robinson Jackson Services,Recruitment,SMB,88 Mill Lane,Cambridge,Cambridgeshire,CB48 2KL
142,Johnson Roberts International,Healthcare,Enterprise,173 Station Road,Manchester,Greater Manchester,M35 7RY
143,Morgan Cooper Services,Real Estate,Enterprise,56 Commerce Way,Sheffield,South Yorkshire,S66 7DM
144,College of Milton Keynes,Education,Public Sector,135 Business Park,Oxford,Oxfordshire,OX40 7BH
145,Smith Robinson Partners,Healthcare,Enterprise,197 Mill Lane,Bristol,Avon,BS98 6JK
146,University of Oxford,Education,Public Sector,45 Mill Lane,Reading,Berkshire,RG49 4UZ
147,King Clarke PLC,Insurance,Enterprise,190 High Street,Belfast,Northern Ireland,BT56 2AR
148,Baker Martin International,Construction,Enterprise,182 Business Park,Belfast,Northern Ireland,BT54 7KD
149,Lewis Roberts International,Legal Services,Enterprise,177 Technology Park,Cambridge,Cambridgeshire,CB47 2CP
150,Martin Harrison Services,Manufacturing,SMB,21 Queens Road,Brighton,East Sussex,BN40 6LH
151,Taylor Moore and Co,Retail,Enterprise,136 Market Street,Leeds,West Yorkshire,LS25 3MM
152,Wilson Johnson Partners,Manufacturing,SMB,45 The Green,Bristol,Avon,BS20 3XC
153,Hill Baker International,Real Estate,Enterprise,175 Technology Park,Cambridge,Cambridgeshire,CB73 6XX
154,Johnson Cooper PLC,Construction,Enterprise,114 Business Park,Oxford,Oxfordshire,OX39 1JV
155,Moore Taylor Partners,Transport & Logistics,Enterprise,116 High Street,Cambridge,Cambridgeshire,CB8 2MK
156,Morgan Moore Services,Financial Services,SMB,149 Market Street,Cambridge,Cambridgeshire,CB95 4BR
157,Morgan Ward UK,Construction,Enterprise,16 Kings Road,Glasgow,Scotland,G14 2LZ
158,Walker Williams Solutions,Insurance,Enterprise,113 Market Street,Cambridge,Cambridgeshire,CB67 6WF
159,Green Networks Partners,Telecommunications,Partner,174 The Green,Nottingham,Nottinghamshire,NG7 6XX
160,Harris Wilson UK,Healthcare,Public Sector,73 Park Lane,Belfast,Northern Ireland,BT93 3YW
161,Davies Harrison and Co,Transport & Logistics,SMB,90 Park Lane,Glasgow,Scotland,G84 7ZY
162,Academy of Birmingham,Education,Enterprise,144 Queens Road,Newcastle,Tyne and Wear,NE83 9LE
163,Martin Moore Associates,Financial Services,SMB,93 Park Lane,London,Greater London,EC24 8GL
164,Thompson Thomas Group,Hospitality,Enterprise,76 Enterprise Road,Birmingham,West Midlands,B13 9TU
165,Harris Thomas International,Healthcare,SMB,40 Mill Lane,Belfast,Northern Ireland,BT24 3ZW
166,Royal Hospital NHS Trust,NHS Trust,Public Sector,94 Business Park,Reading,Berkshire,RG93 5HR
167,City Hospital NHS Trust,NHS Trust,Public Sector,62 Park Lane,Southampton,Hampshire,SO61 8GM
168,Green Jackson UK,Charity,SMB,108 Mill Lane,Brighton,East Sussex,BN26 5WE
169,Ward Patel UK,Healthcare,Enterprise,183 Enterprise Road,Leeds,West Yorkshire,LS67 2DK
170,Edwards Cooper UK,Retail,Enterprise,112 Station Road,Glasgow,Scotland,G29 1RM
171,Manchester County Council,Local Government,Public Sector,96 Church Road,Brighton,East Sussex,BN50 4CM
172,Lewis Wilson LLP,Legal Services,Enterprise,38 Mill Lane,Nottingham,Nottinghamshire,NG5 3KS
173,Cooper Smith PLC,Real Estate,SMB,66 Church Road,London,Greater London,EC20 9UW
174,Evans Green Solutions,Central Government,Public Sector,32 High Street,Newcastle,Tyne and Wear,NE31 8PX
175,Evans Morris International,Healthcare,Public Sector,5 Business Park,Southampton,Hampshire,SO66 3VH
176,Martin Smith International,Professional Services,Enterprise,62 The Green,Cardiff,Wales,CF54 2FY
177,Patel Taylor UK,Recruitment,SMB,130 Commerce Way,Southampton,Hampshire,SO65 7UA
178,Williams Jackson Associates,Real Estate,SMB,192 High Street,Sheffield,South Yorkshire,S46 4CM
179,Harrison Harris Group,Financial Services,Enterprise,91 Market Street,Manchester,Greater Manchester,M44 8XF
180,Walker Thomas PLC,Real Estate,SMB,10 Park Lane,Cambridge,Cambridgeshire,CB26 1BG
181,Hall Moore Services,Construction,Enterprise,122 Park Lane,Southampton,Hampshire,SO5 5XG
182,Brown Harris Partners,Transport & Logistics,Enterprise,95 Queens Road,Leeds,West Yorkshire,LS52 6RN
183,Morris Morris Associates,Hospitality,SMB,69 Commerce Way,Brighton,East Sussex,BN11 7PC
184,Lee Green Associates,Hospitality,SMB,21 Victoria Road,Leeds,West Yorkshire,LS85 8KK
185,Roberts Cooper Associates,Central Government,Public Sector,11 Innovation Drive,Cambridge,Cambridgeshire,CB46 5WP
186,Taylor Wood Associates,Healthcare,Enterprise,192 Business Park,Brighton,East Sussex,BN21 8AE
187,Thomas Taylor Solutions,Healthcare,SMB,93 Queens Road,Cardiff,Wales,CF73 3BW
188,County Hospital NHS Trust,NHS Trust,Public Sector,114 Commerce Way,Cardiff,Wales,CF10 9VE
189,Wood IT Solutions Group,Telecommunications,Partner,64 Station Road,Sheffield,South Yorkshire,S4 9FS
190,King Communications Partners,IT Reseller,Partner,181 Kings Road,Sheffield,South Yorkshire,S28 8WK
191,Evans Thomas PLC,Hospitality,Enterprise,45 Technology Park,Cambridge,Cambridgeshire,CB92 6RC
192,Taylor King UK,Transport & Logistics,Enterprise,77 Enterprise Road,Newcastle,Tyne and Wear,NE21 3ZZ
193,Moore Telecom Ltd,Telecommunications,Partner,36 Church Road,Bristol,Avon,BS64 9AM
194,Hill Tech Ltd,Telecommunications,Partner,23 Station Road,Coventry,West Midlands,CV40 8NZ
195,Turner Turner International,Recruitment,SMB,33 Victoria Road,Birmingham,West Midlands,B83 8CR
196,Clarke Thomas UK,Recruitment,SMB,47 Commerce Way,Milton Keynes,Buckinghamshire,MK17 1PT
197,Academy of Glasgow,Education,Public Sector,43 Mill Lane,Newcastle,Tyne and Wear,NE42 6ZH
198,Green Davies Partners,Recruitment,SMB,163 Market Street,Bristol,Avon,BS36 5EX
199,Davies Moore and Co,Media & Entertainment,Enterprise,152 The Green,Edinburgh,Scotland,EH20 6FY
200,Jones Davies Ltd,Healthcare,SMB,68 Business Park,Milton Keynes,Buckinghamshire,MK27 1VP
201,Lee Green and Co,Real Estate,Enterprise,124 Church Road,Newcastle,Tyne and Wear,NE88 8NK
202,Brown Roberts Holdings,Healthcare,Public Sector,124 Kings Road,Reading,Berkshire,RG27 3LW
203,Lewis Clarke Services,Construction,Enterprise,195 Victoria Road,Glasgow,Scotland,G66 6UD
204,Hill Evans Partners,Manufacturing,SMB,64 Mill Lane,Cambridge,Cambridgeshire,CB13 7BK
205,Liverpool Borough Council,Local Government,Public Sector,148 Innovation Drive,Nottingham,Nottinghamshire,NG41 8GF
206,Hill Morris Partners,Insurance,Enterprise,6 Station Road,Oxford,Oxfordshire,OX51 4TR
207,Harrison Clarke Ltd,Technology,SMB,73 Kings Road,Manchester,Greater Manchester,M77 8XY
208,Lee Smith PLC,Professional Services,Enterprise,35 Technology Park,Reading,Berkshire,RG34 6MN
209,Wood Brown International,Healthcare,SMB,50 Victoria Road,Southampton,Hampshire,SO71 7KC
210,Cooper King Partners,Insurance,Enterprise,175 The Green,Coventry,West Midlands,CV16 7ED
211,Harris Tech Partners,Telecommunications,Partner,51 The Green,Glasgow,Scotland,G66 1NT
212,Williams Thomas LLP,Healthcare,SMB,122 Market Street,Nottingham,Nottinghamshire,NG59 9EW
213,College of Coventry,Education,Enterprise,42 Queens Road,Nottingham,Nottinghamshire,NG79 6KV
214,Moore Lee Holdings,Insurance,Enterprise,77 Kings Road,Milton Keynes,Buckinghamshire,MK3 2ML
215,Milton Keynes City Council,Local Government,Public Sector,153 Kings Road,London,Greater London,EC34 4XV
216,Harrison Ward Group,Healthcare,Enterprise,162 Innovation Drive,Brighton,East Sussex,BN80 4NE
217,Baker Evans Solutions,Healthcare,SMB,113 Victoria Road,London,Greater London,EC54 4EP
218,Brighton County Council,Local Government,Public Sector,181 Mill Lane,Manchester,Greater Manchester,M67 6GU
219,Clark Jackson Associates,Real Estate,SMB,118 Technology Park,Edinburgh,Scotland,EH69 6LU
220,Ward Wright Solutions,Manufacturing,Enterprise,143 Park Lane,Sheffield,South Yorkshire,S29 4KK
221,Lewis Ward Associates,Real Estate,Enterprise,185 Park Lane,Southampton,Hampshire,SO37 9DV
222,Wood IT Solutions Ltd,IT Reseller,Partner,11 Park Lane,Newcastle,Tyne and Wear,NE92 8CM
223,Ward Robinson Solutions,Manufacturing,Enterprise,70 Technology Park,Southampton,Hampshire,SO72 3ZJ
224,Harrison White Solutions,Financial Services,Enterprise,172 Technology Park,Manchester,Greater Manchester,M68 4HX
225,Wilson Turner Associates,Healthcare,Enterprise,26 Business Park,Oxford,Oxfordshire,OX99 9EA
226,Turner Ward Holdings,Retail,Enterprise,194 Park Lane,Bristol,Avon,BS42 1KX
227,Baker Thompson UK,Financial Services,SMB,45 Queens Road,Manchester,Greater Manchester,M23 8BN
228,Green Williams Ltd,Hospitality,SMB,146 The Green,Newcastle,Tyne and Wear,NE14 8LK
229,Clark Morris Group,Media & Entertainment,Enterprise,120 Park Lane,Brighton,East Sussex,BN25 3DL
230,Hughes Walker Ltd,Charity,SMB,76 The Green,Nottingham,Nottinghamshire,NG87 7GF
231,Moore Lewis PLC,Central Government,Public Sector,172 Station Road,Belfast,Northern Ireland,BT24 6ES
232,Smith Hughes Services,Manufacturing,SMB,115 Commerce Way,Liverpool,Merseyside,L35 1LK
233,Patel White Ltd,Manufacturing,Enterprise,120 Park Lane,Leeds,West Yorkshire,LS21 9NY
234,Evans Green Associates,Construction,SMB,57 Church Road,Coventry,West Midlands,CV18 8SE
235,Turner Connect Group,Telecommunications,Partner,194 Market Street,Oxford,Oxfordshire,OX86 2GH
236,Cooper Clark LLP,Recruitment,SMB,20 Technology Park,Cardiff,Wales,CF73 9DB
237,Wright Baker UK,Insurance,Enterprise,43 Victoria Road,Glasgow,Scotland,G67 4RD
238,Davies Moore Holdings,Real Estate,Enterprise,117 Mill Lane,Manchester,Greater Manchester,M66 1PR
239,Hall Jones Services,Charity,SMB,1 Innovation Drive,Sheffield,South Yorkshire,S28 1VC
240,Clarke Taylor UK,Central Government,Public Sector,18 Technology Park,Manchester,Greater Manchester,M61 7BK
241,Thomas Turner Associates,Hospitality,SMB,115 Enterprise Road,Belfast,Northern Ireland,BT49 9NC
242,Academy of Cardiff,Education,Enterprise,46 Market Street,Leeds,West Yorkshire,LS51 4TE
243,Jones Hall Holdings,Legal Services,SMB,109 Market Street,Southampton,Hampshire,SO49 8HH
244,Johnson Edwards Solutions,Transport & Logistics,Enterprise,9 Commerce Way,Leeds,West Yorkshire,LS85 1PW
245,Robinson Taylor PLC,Manufacturing,SMB,9 Kings Road,Coventry,West Midlands,CV77 1YZ
246,Williams Wood Holdings,Manufacturing,SMB,139 Church Road,Liverpool,Merseyside,L97 9BE
247,Thompson Baker Associates,Professional Services,Enterprise,154 Commerce Way,Milton Keynes,Buckinghamshire,MK87 5LH
248,Clark Thompson Services,Retail,SMB,71 High Street,Newcastle,Tyne and Wear,NE72 7VF
